Problem,Correct Confidence,Score,Time
Basic Problem E-01,1.0,1.0,1082
Basic Problem E-02,1.0,1.0,442
Basic Problem E-03,1.0,1.0,650
Basic Problem E-04,1.0,1.0,219
Basic Problem E-05,1.0,1.0,343
Basic Problem E-06,1.0,1.0,330
Basic Problem E-07,1.0,1.0,247
Basic Problem E-08,1.0,1.0,256
Basic Problem E-09,1.0,1.0,211
Basic Problem E-10,1.0,1.0,222
Basic Problem E-11,1.0,1.0,181
Basic Problem E-12,1.0,1.0,194
Challenge Problem E-01,1.0,1.0,226
Challenge Problem E-02,0.0,0.0,86
Challenge Problem E-03,0.0,0.0,214
Challenge Problem E-04,0.0,0.0,91
Challenge Problem E-05,0.0,0.0,169
Challenge Problem E-06,0.0,0.0,78
Challenge Problem E-07,0.0,0.0,78
Challenge Problem E-08,0.0,0.0,80
Challenge Problem E-09,1.0,1.0,95
Challenge Problem E-10,1.0,1.0,97
Challenge Problem E-11,0.0,0.0,93
Challenge Problem E-12,0.0,0.0,82
